"condition","days","avg_duration","avg_usage"
"Clear",682,1092.1728515493,4337
"Fog",64,1036.34527724826,1491
"Fog-Rain",12,2516.22883824537,972
"Rain",127,1239.96117849112,2223
"Rain-Thunderstorm",3,991.323428571429,583
